date_str,Time,latitude,longitude,NO2_Value
2024-01-01,12:00:47 AM,9.760486163978202,76.861975227453,-9999
2024-01-01,12:02:31 AM,9.16199007968575,77.8343847714811,1.6058975870040915E-5
2024-01-01,12:04:33 AM,10.814265384029586,79.14131607653871,-9999
2024-01-01,12:04:33 AM,9.88779349905408,76.91745536275998,-9999
2024-01-01,12:09:23 AM,17.520039912243636,81.34939157258826,-9999
2024-01-01,12:15:05 AM,17.501119946473864,82.01201398913032,-9999
2024-01-01,12:18:19 AM,8.098021813727243,77.53857246669656,-9999
2024-01-01,12:19:21 AM,22.33664939264954,84.93169512679403,-9999
2024-01-01,12:25:12 AM,17.41640148555945,75.6887857402914,2.9756803393769426E-5
2024-01-01,12:26:11 AM,22.142245964022457,73.65568091047801,2.9093578632452063E-5
2024-01-01,12:26:16 AM,12.410810843407454,75.76951330576297,-9999
2024-01-01,12:27:34 AM,19.272404198833115,81.60285579466823,-9999
2024-01-01,12:35:13 AM,15.165335796253633,78.24345378392212,1.5719768271078462E-5
2024-01-01,1:28:15 AM,10.414212673918636,77.55432201161733,-9999
2024-01-01,4:03:46 AM,19.31551478781783,76.74968168562407,3.145582013530305E-5
2024-01-01,4:25:47 AM,21.962784983025475,74.76810622758431,2.195149602805501E-5
2024-01-01,4:28:30 AM,7.115779951876291,94.00654099459229,-9999
2024-01-01,4:37:21 AM,7.108721194908687,93.96673014038713,-9999
2024-01-01,4:42:56 AM,7.046614835436293,94.0393644374467,-9999
2024-01-01,5:48:02 AM,7.285850066054718,93.9766070492205,-9999
2024-01-01,5:49:31 AM,7.284061966532287,93.97702620471952,-9999
2024-01-01,5:54:32 AM,7.278621863247084,93.97683446337422,-9999
2024-01-01,6:11:11 AM,7.184030952600333,94.00332598273275,-9999
2024-01-01,6:54:56 AM,8.805846137648079,77.5934818370687,-9999
2024-01-01,7:04:49 AM,7.263942502579139,93.50650632066096,-9999
2024-01-01,7:08:08 AM,7.34075943642685,93.55862429377365,-9999
2024-01-01,8:06:54 AM,7.422423413119656,93.55964096881382,-9999
2024-01-01,8:53:39 AM,26.94463537116892,75.07307306683158,3.8061923987681716E-5
2024-01-01,9:12:14 AM,7.765047360763278,93.16203184608017,-9999
2024-01-01,12:24:56 PM,11.123900902079814,72.07657945442122,1.1540865671115518E-5
2024-01-01,12:26:48 PM,11.135753192679875,72.10317353310397,8.42667577672248E-6
2024-01-01,12:28:32 PM,11.113934811225365,72.0608923369152,1.1756270563813679E-5
2024-01-01,12:31:33 PM,11.145701447130111,72.08558683854918,1.468140219303935E-5
2024-01-01,12:33:36 PM,11.130268498384133,72.10816326718279,8.426675776713124E-6
2024-01-01,12:34:27 PM,11.113145550338903,72.15021704921783,1.0230501175104779E-5
2024-01-01,12:34:47 PM,11.131026545563222,72.11335811991005,8.426675776713124E-6
2024-01-01,12:36:15 PM,11.114732990313927,72.09771559341455,1.0908221606956162E-5
2024-01-01,12:36:15 PM,11.130281875687295,72.11295680081523,8.426675776713124E-6
2024-01-01,12:37:31 PM,11.11758235588708,72.08563142955973,1.1540865671113468E-5
2024-01-01,12:39:02 PM,11.107986370420065,72.1656990480754,1.1426672626027149E-5
2024-01-01,12:39:27 PM,11.103634287791902,72.0993208697938,8.54312710871029E-6
2024-01-01,12:40:28 PM,11.13874079038568,72.10181350728267,8.42667577672248E-6
2024-01-01,12:40:33 PM,11.135467810212452,72.11784843467088,8.4266757767251E-6
2024-01-01,12:41:11 PM,11.161945952267812,72.10431506297365,1.7094253053082486E-5
2024-01-01,12:41:14 PM,11.102769222187533,72.09691295522494,1.1445626674445667E-5
2024-01-01,12:41:46 PM,11.181806788359864,72.11614059896739,1.709425305306351E-5
2024-01-01,12:41:48 PM,14.487168953439259,77.57741123687207,1.3742342161995955E-5
2024-01-01,12:43:13 PM,11.141888915729414,72.09236467215042,1.551804451720613E-5
2024-01-01,12:43:42 PM,11.105979774946015,72.1559469940715,1.0438072990191322E-5
2024-01-01,12:43:54 PM,11.11192821575131,72.09576250715314,1.1480547871280441E-5
2024-01-01,12:45:17 PM,11.183064254856932,72.1928326779856,7.96242906199522E-6
2024-01-01,12:46:02 PM,11.131673115215968,72.16050419534812,1.023050117509842E-5
2024-01-01,12:46:58 PM,11.129060081998652,72.1066873047341,8.42667577672248E-6
2024-01-01,12:46:58 PM,11.179224968849915,72.13275075039148,2.7084508928948816E-6
2024-01-01,12:55:59 PM,11.159801124661104,72.15001193056936,2.7084508928978885E-6
2024-01-01,12:58:00 PM,11.159854633873747,72.18436484508511,8.282438102466917E-6
2024-01-01,12:58:00 PM,11.159448855677883,72.15741849741914,2.708450892895724E-6
2024-01-01,1:06:32 PM,11.177361064609576,72.14076821408557,2.7084508928948816E-6
2024-01-01,1:06:32 PM,11.194434962543221,72.15192042582024,2.7084509096516145E-6
2024-01-01,3:08:00 PM,14.342239251000162,78.78423126417877,1.3775418665311848E-5
2024-01-01,4:00:55 PM,11.878073122350168,76.46724222489881,-9999
2024-01-01,5:26:28 PM,8.269434117322756,77.26276814833882,-9999
2024-01-01,5:42:51 PM,11.13528498706926,76.7098529950147,-9999
2024-01-01,6:05:44 PM,19.36696835487354,79.31862331172688,3.2763775230635116E-5
2024-01-01,6:13:08 PM,19.327643542683205,79.26988087811166,3.1683892927414966E-5
2024-01-01,6:16:55 PM,21.804852541914528,74.50812725886526,2.749748637141772E-5
2024-01-01,6:42:35 PM,24.74890712593637,72.31725943378096,2.3917302020564863E-5
2024-01-01,6:50:32 PM,11.216079439056648,76.23413825822888,-9999
